Name,Position,Age,Nat,Height,Weight,Personality,Club,Transfer Value,Av Rat,Gls,Pens S,Pen/R,Shot/90,Shot %,ShT/90,xG,Asts/90,Ps C/90,Pas %,K Ps/90,Pr Passes,CCC,Cr A,Cr C/A,Tck/90,Tck R,Pres A,Pres C,K Tck,Int/90,Clear,Fls,Aer A/90,Hdrs W/90,Hdr %,Gl Mst,Drb/90,FA,Dist/90,Yel,Red,Off,Apps,Mins,Shots,Ast,Pens,Mins/Gm,ShT,Hdrs A,Cr C,Distance,Drb,Hdrs,Itc,K Pas,Pas A,Ps C,Tck A,Tck C,Expires,Wage,Preferred Foot,K Hdrs/90,Blk/90,xG/shot,Sprints/90,Poss Won/90,Poss Lost/90,Pres A/90,Pres C/90,Pr passes/90,xA/90,Blk,xGP,xSv %,Conv %,OP-KP/90,Svt,xGP/90,OP-KP,Sv %,Svh,Svp,Con/90,Cln/90,NP-xG/90,Pens Saved Ratio,NP-xG,Division,Style,Media Description,Media Handling,FK Shots,Ch C/90,Clr/90,Crs A/90,Cr C/90,Goals Outside Box,Hdrs L/90,K Tck/90,OP-Cr %,OP-Crs A/90,OP-Crs C/90,Ps A/90,Shts Blckd/90,Shots Outside Box/90,xG/90,Saves/90,Inf,Rec
Bernd Leno,GK,32,GER,"6'3""",83 kg,Fairly Professional,Fulham,Not for Sale,6.73,0,0,-,-,-,-,0,-,10.16,53%,0.09,10,1,-,-,0,0%,0,0,0,0.09,-,0,-,-,-,0,-,0,6.2km,0,0,0,12,"1,028",0,0,0,85.67,-,-,-,70.8km,0,-,1,1,219,116,3,0,30/6/2026,"£90,000 p/w",Right,0,-,0,0,4.73,12.96,0,0,0.88,0.02,-,-1.85,84%,-,0,8,-0.16,0,72%,19,16,1.66,0.18,0,0%,0,English Premier Division,Shot Stopper,Experienced goalkeeper,Level-headed,-,0.09,8.05,-,-,-,-,0,-,-,-,19.17,-,-,0,3,,- - -
Illan Meslier,GK,24,FRA,"6'5""",74 kg,Balanced,Leeds,£14M - £17.5M,7.05,0,0,-,-,-,-,0,-,18.35,72%,-,0,0,-,-,0.06,50%,0,0,0,-,-,0,-,-,-,0,-,3,5.5km,0,0,0,17,"1,530",0,0,0,90,-,-,-,94.1km,0,-,0,0,432,312,2,1,30/6/2026,"£48,000 p/w",Left Only,0,-,0,0,4.29,7.18,0,0,0,0,-,9.03,89%,-,0,8,0.53,0,77%,11,16,0.71,0.47,0,50%,0,Sky Bet Championship,Shot Stopper,Goalkeeper,Level-headed,-,-,1.12,-,-,-,-,0,-,-,-,25.41,-,-,0,2,,- - -
Ibrahim Sehic,GK,36,BIH,"6'3""",80 kg,Fairly Ambitious,Al-Khaleej (KSA),£750K - £1.6M,7.01,0,0,-,-,-,-,0,-,12.36,62%,-,0,0,-,-,-,-,0,0,0,-,-,0,-,-,-,0,-,9,0.0km,0,0,0,14,"1,260",0,0,0,90,-,-,-,0.0km,0,-,0,0,280,173,0,-,30/6/2024,"£71,000 p/w",Left Only,0,-,0,0,0,0,0,0,0,0,-,0,0%,-,0,0,0,0,0%,0,0,1.57,0.14,0,-,0,Saudi Professional League,Assertive,Veteran goalkeeper,Level-headed,-,-,0,-,-,-,-,0,-,-,-,20,-,-,0,-,,- - -
William Carvalho,M (C),32,POR,"6'2""",83 kg,Light-Hearted,Real Hispalis,£6.2M,7.15,0,0,-,-,-,-,0,0.83,59.17,93%,0.83,9,0,3,-,0.83,100%,13,3,0,0.83,1,0,2.5,0.83,33%,0,-,1,12.8km,0,0,0,1 (1),108,0,1,0,54,-,3,0,15.3km,0,1,1,1,76,71,1,1,30/6/2025,"£26,500 p/w",Right,0,0.83,0,14.17,12.5,6.67,10.83,2.5,7.5,0.18,1,-,-,-,0.83,-,-,1,-,-,-,-,-,0,-,0,Spanish First Division,Intelligent,Experienced midfielder,"Unflappable, Media-friendly",0,-,0.83,2.5,0,0,1.67,0,0%,2.5,0,63.33,0.83,0,0,-,Lst,- - -
Yang Han Been,GK,33,KOR,"6'5""",89 kg,Balanced,C-Osaka,£50K - £500K,7.04,0,0,-,-,-,-,0,-,15.56,67%,-,0,0,-,-,0.07,40%,0,0,0,-,-,0,-,-,-,0,-,18,2.0km,0,0,0,28 (1),"2,539",0,0,0,87.55,-,-,-,56.3km,0,-,0,0,658,439,5,2,31/1/2024,"£18,500 p/w",Right Only,0,-,0,0,1.28,1.99,0,0,0,0,-,-3.67,91%,-,0,3,-0.13,0,72%,15,21,1.6,0.21,0,40%,0,J1 League,Assertive,Experienced goalkeeper,"Outspoken, Media-friendly",-,-,0.43,-,-,-,-,0,-,0.12,-,23.32,-,-,0,1,Wnt,- - -
Rui Silva,GK,30,POR,"6'3""",91 kg,Fairly Professional,Real Hispalis,£7M - £8.8M,6.66,0,0,-,-,-,-,0,-,21.74,69%,-,1,0,-,-,0,0%,0,0,0,-,-,0,-,-,-,0,-,2,6.6km,0,0,0,15,"1,271",0,0,0,84.73,-,-,-,92.9km,0,-,0,0,442,307,1,0,30/6/2025,"£17,750 p/w",Left,0,-,0,0,3.19,6.09,0,0,0.07,0,-,2.05,90%,-,0,7,0.15,0,72%,14,16,0.99,0.28,0,0%,0,Spanish First Division,Distributor,Goalkeeper,Level-headed,-,-,0.78,-,-,-,-,0,-,-,-,31.3,-,-,0,2,,- - -
Matheus,GK,32,BRA,"6'3""",84 kg,Balanced,BRG,Not for Sale,6.86,0,0,-,-,-,-,0,-,23.44,82%,-,1,0,-,-,0,0%,0,0,0,-,-,1,-,-,-,1,-,8,6.3km,1,0,0,14,"1,290",0,0,0,92.14,-,-,-,90.9km,0,-,0,0,412,336,1,0,30/6/2026,"£11,000 p/w",Right Only,0,-,0,0,3.14,6.14,0,0,0.07,0.01,-,-0.7,86%,-,0,10,-0.05,0,68%,9,22,1.26,0.21,0,0%,0,Portuguese Premier League,Assertive,Experienced goalkeeper,Media-friendly,-,-,3.14,-,-,-,-,0,-,-,-,28.74,-,-,0,2,,- - -
Kasper Schmeichel,GK,38,DEN,"6'2""",84 kg,Jovial,Celtic,£80K - £800K,6.79,0,0,-,-,-,-,0,-,28.67,95%,0.33,0,0,-,-,-,-,0,0,0,-,-,0,-,-,-,0,-,5,6.3km,0,0,0,15,"1,350",0,0,0,90,-,-,-,94.2km,0,-,0,5,452,430,0,-,31/5/2024,"£4,100 p/w",Right,0,-,0,0,5.47,5.47,0,0,0,0,-,-6.56,90%,-,0,6,-0.44,0,66%,6,26,1.27,0.33,0,-,0,cinch Premiership,Distributor,Veteran goalkeeper,"Outspoken, Unflappable",-,-,1.8,-,-,-,-,0,-,-,-,30.13,-,-,0,2,,- - -
Guillermo Ochoa,GK,39,MEX,"6'0""",77 kg,Professional,AVS SAD,£18K - £190K,6.68,0,0,-,-,-,-,0,-,17.97,73%,-,0,0,-,-,0,0%,0,0,0,-,-,0,-,-,-,1,-,3,5.7km,0,0,0,14,"1,207",0,0,0,86.21,-,-,-,75.9km,0,-,0,0,330,241,3,0,30/6/2024,"£5,000 p/w",Right,0,-,0,0,5.67,7.61,0,0,0,0,-,-0.74,91%,-,0,14,-0.06,0,75%,15,31,1.42,0.22,0,0%,0,Portuguese Premier League,Shot Stopper,Veteran goalkeeper,Evasive,-,-,7.68,-,-,-,-,0,-,-,-,24.61,-,-,0,4,,- - -
Matheus,GK,31,BRA,"6'3""",82 kg,Fairly Determined,Tokyo-V,£28K - £275K,7.54,0,0,-,-,-,-,0,-,13.22,63%,-,0,0,-,-,-,-,0,0,0,-,-,1,-,-,-,0,-,40,0.5km,1,0,0,35 (1),"3,159",0,0,0,87.75,-,-,-,16.4km,0,-,0,0,740,464,0,-,31/1/2024,"£6,250 p/w",Right,0,-,0,0,0.28,0.31,0,0,0,0,-,2.7,90%,-,0,0,0.08,0,84%,2,9,0.74,0.54,0,-,0,J2 League,Distributor,Commanding goalkeeper,Level-headed,-,-,0.46,-,-,-,-,0,-,-,-,21.08,-,-,0,0,Wnt,- - -
