Date,npxG/Sh For,npxG/Sh Ag
2022-08-07,0.11,0.08
2022-08-13,0.09,0.04
2022-08-21,0.1,0.15
2022-08-27,0.13,0.06
2022-08-31,0.2,0.08
2022-09-03,0.16,0.11
2022-09-17,0.07,0.07
2022-10-02,0.15,0.08
2022-10-08,0.12,0.03
2022-10-16,0.06,0.16
2022-10-22,0.09,0.06
2022-10-29,0.07,0.07
2022-11-05,0.09,0.05
2022-11-12,0.06,0.13
2022-12-28,0.17,0.06
2022-12-31,0.11,0.05
2023-01-05,0.17,0.05
2023-01-14,0.13,0.21
2023-01-19,0.15,0.09
2023-01-22,0.17,0.08
2023-02-05,0.09,0.12
2023-02-12,0.16,0.05
2023-02-15,0.21,0.09
2023-02-18,0.12,0.24
2023-02-25,0.13,0.08
2023-03-04,0.12,0.09
2023-03-11,0.1,0.05
2023-04-01,0.17,0.08
2023-04-08,0.18,0.1
2023-04-15,0.12,0.22
2023-04-26,0.18,0.06
2023-04-30,0.16,0.05
2023-05-03,0.14,0.07
2023-05-06,0.1,0.06
2023-05-14,0.08,0.27
2023-05-21,0.08,0.1
2023-05-24,0.14,0.12
2023-05-28,0.11,0.12
2023-08-11,0.12,0.05
2023-08-19,0.07,0.04
2023-08-27,0.1,0.11
2023-09-02,0.25,0.31
2023-09-16,0.13,0.16
2023-09-23,0.19,0.1
2023-09-30,0.04,0.16
2023-10-08,0.12,0.03
2023-10-21,0.08,0.17
2023-10-29,0.16,0.14
2023-11-04,0.09,0.18
2023-11-12,0.15,0.14
2023-11-25,0.08,0.07
2023-12-03,0.15,0.06
2023-12-06,0.37,0.11
2023-12-10,0.09,0.08
2023-12-16,0.08,0.26
2023-12-27,0.09,0.14
2023-12-30,0.12,0.08
2024-01-13,0.11,0.11
2024-01-31,0.13,0.18
2024-02-05,0.08,0.12
2024-02-10,0.09,0.06
2024-02-17,0.09,0.16
2024-02-20,0.1,0.06
2024-02-24,0.12,0.07
2024-03-03,0.12,0.08
2024-03-10,0.16,0.11
2024-03-31,0.09,0.11
2024-04-03,0.14,0.1
2024-04-06,0.11,0.15
2024-04-13,0.1,0.13
2024-04-25,0.1,0.09
2024-04-28,0.08,0.14
2024-05-04,0.12,0.17
2024-05-11,0.16,0.12
2024-05-14,0.23,0.17
2024-05-19,0.07,0.12
2024-08-18,0.07,0.1
2024-08-24,0.2,0.29
2024-08-31,0.13,0.07
2024-09-14,0.12,0.12
2024-09-22,0.07,0.13
2024-09-28,0.06,0.08
2024-10-05,0.08,0.24
2024-10-20,0.07,0.26
2024-10-26,0.13,0.04
2024-11-02,0.09,0.18
2020-09-21,0.09,0.06
2020-09-27,0.05,0.12
2020-10-03,0.05,0.2
2020-10-17,0.11,0.08
2020-10-24,0.07,0.05
2020-10-31,0.1,0.16
2020-11-08,0.1,0.05
2020-11-21,0.07,0.18
2020-11-28,0.09,0.05
2020-12-05,0.15,0.05
2020-12-12,0.15,0.06
2020-12-15,0.09,0.09
2020-12-19,0.08,0.08
2020-12-26,0.27,0.04
2021-01-03,0.15,0.09
2021-01-13,0.08,0.04
2021-01-17,0.05,0.03
2021-01-20,0.11,0.06
2021-01-26,0.1,0.14
2021-01-30,0.16,0.05
2021-02-03,0.16,0.04
2021-02-07,0.42,0.06
2021-02-13,0.1,0.05
2021-02-17,0.06,0.36
2021-02-21,0.12,0.05
2021-02-27,0.05,0.22
2021-03-02,0.15,0.06
2021-03-07,0.06,0.14
2021-03-10,0.16,0.09
2021-03-13,0.2,0.09
2021-04-03,0.13,0.06
2021-04-10,0.07,0.07
2021-04-21,0.09,0.09
2021-05-01,0.09,0.1
2021-05-08,0.07,0.05
2021-05-14,0.1,0.06
2021-05-18,0.12,0.06
2021-05-23,0.12,0.04
2021-08-15,0.1,0.08
2021-08-21,0.17,0.06
2021-08-28,0.18,0.21
2021-09-11,0.12,0.11
2021-09-18,0.06,0.04
2021-09-25,0.11,0.05
2021-10-03,0.1,0.15
2021-10-16,0.15,0.13
2021-10-23,0.18,0.06
2021-10-30,0.05,0.08
2021-11-06,0.1,0.2
2021-11-21,0.15,0.05
2021-11-28,0.11,0.04
2021-12-01,0.06,0.09
2021-12-04,0.12,0.07
2021-12-11,0.11,0.09
2021-12-14,0.1,0.05
2021-12-19,0.17,0.06
2021-12-26,0.14,0.19
2021-12-29,0.09,0.06
2022-01-01,0.09,0.11
2022-01-15,0.09,0.08
2022-01-22,0.09,0.12
2022-02-09,0.08,0.06
2022-02-12,0.19,0.05
2022-02-19,0.07,0.24
2022-02-26,0.14,0.08
2022-03-06,0.13,0.1
2022-03-14,0.15,0.09
2022-04-02,0.1,0.03
2022-04-10,0.11,0.22
2022-04-20,0.07,0.08
2022-04-23,0.14,0.1
2022-04-30,0.13,0.2
2022-05-08,0.16,0.12
2022-05-11,0.16,0.08
2022-05-15,0.05,0.18
2022-05-22,0.14,0.06
