,id,player,total_goals,high_xg_goals,low_xg_goals,low_chance_%,high_chance_%
18,263779,Dwight McNeil,20,2,18,0.9,0.1
39,435324,Michael Olise,19,5,14,0.7368421052631579,0.2631578947368421
28,233091,James Maddison,49,15,34,0.6938775510204082,0.30612244897959184
14,323680,Dejan Kulusevski,32,12,20,0.625,0.375
35,167170,Leon Bailey,43,17,26,0.6046511627906976,0.3953488372093023
48,294905,Phil Foden,54,22,32,0.5925925925925926,0.4074074074074074
3,523185,Antoine Semenyo,12,5,7,0.5833333333333334,0.4166666666666667
19,386008,Eberechi Eze,27,12,15,0.5555555555555556,0.4444444444444444
21,501828,Evan Ferguson,13,6,7,0.5384615384615384,0.46153846153846156
25,295278,Harvey Barnes,43,20,23,0.5348837209302325,0.46511627906976744
55,24858,Son Heung-Min,134,64,70,0.5223880597014925,0.47761194029850745
6,368714,Bukayo Saka,50,24,26,0.52,0.48
12,15437,Danny Welbeck,47,23,24,0.5106382978723404,0.48936170212765956
47,77890,Pascal Groß,36,18,18,0.5,0.5
38,256085,Matheus Cunha,38,19,19,0.5,0.5
41,338638,Miguel Almirón,23,12,11,0.4782608695652174,0.5217391304347826
29,353293,Jarrod Bowen,46,25,21,0.45652173913043476,0.5434782608695652
34,310517,Leandro Trossard,40,22,18,0.45,0.55
26,429862,Hee-Chan Hwang,20,11,9,0.45,0.55
11,542626,Cole Palmer,29,16,13,0.4482758620689655,0.5517241379310345
31,442531,João Pedro,14,8,6,0.42857142857142855,0.5714285714285714
2,451055,Anthony Gordon,21,12,9,0.42857142857142855,0.5714285714285714
57,375713,Yoane Wissa,40,23,17,0.425,0.575
43,420446,Morgan Gibbs-White,12,7,5,0.4166666666666667,0.5833333333333334
9,14483,Chris Wood,76,45,31,0.40789473684210525,0.5921052631578947
50,486919,Rasmus Højlund,20,12,8,0.4,0.6
53,24691,Roberto Firmino,89,54,35,0.39325842696629215,0.6067415730337079
17,215753,Dominic Solanke,31,19,12,0.3870967741935484,0.6129032258064516
51,33159,Raúl Jiménez,52,32,20,0.38461538461538464,0.6153846153846154
52,158412,Richarlison,60,37,23,0.38333333333333336,0.6166666666666667
13,479072,Darwin Núñez,21,13,8,0.38095238095238093,0.6190476190476191
42,47200,Mohamed Salah,196,122,74,0.37755102040816324,0.6224489795918368
46,381490,Ollie Watkins,64,40,24,0.375,0.625
4,481818,Brennan Johnson,16,10,6,0.375,0.625
40,54631,Michail Antonio,68,43,25,0.36764705882352944,0.6323529411764706
54,33138,Rodrigo,64,41,23,0.359375,0.640625
37,59682,Marcus Rashford,84,54,30,0.35714285714285715,0.6428571428571429
36,458324,Luis Díaz,21,14,7,0.3333333333333333,0.6666666666666666
10,509242,Cody Gakpo,15,10,5,0.3333333333333333,0.6666666666666666
24,16909,Harry Kane,255,172,83,0.3254901960784314,0.6745098039215687
45,105918,Odsonne Edouard,19,13,6,0.3157894736842105,0.6842105263157895
1,320986,Alexander Isak,65,45,20,0.3076923076923077,0.6923076923076923
33,132941,Kai Havertz,72,50,22,0.3055555555555556,0.6944444444444444
5,431116,Bryan Mbeumo,30,21,9,0.3,0.7
49,14491,Raheem Sterling,112,79,33,0.29464285714285715,0.7053571428571429
23,336687,Gabriel Martinelli,34,24,10,0.29411764705882354,0.7058823529411765
15,250855,Diogo Jota,59,42,17,0.288135593220339,0.711864406779661
30,221525,Jean-Philippe Mateta,51,37,14,0.27450980392156865,0.7254901960784313
0,58777,Aleksandar Mitrovic,38,28,10,0.2631578947368421,0.7368421052631579
20,354876,Erling Haaland,136,101,35,0.25735294117647056,0.7426470588235294
16,119919,Dominic Calvert-Lewin,56,42,14,0.25,0.75
56,363053,Taiwo Awoniyi,37,28,9,0.24324324324324326,0.7567567567567568
7,57294,Callum Wilson,88,68,20,0.22727272727272727,0.7727272727272727
44,480598,Nicolas Jackson,32,25,7,0.21875,0.78125
27,428714,Ivan Toney,36,29,7,0.19444444444444445,0.8055555555555556
22,119020,Gabriel Jesus,73,59,14,0.1917808219178082,0.8082191780821918
8,532070,Carlton Morris,11,9,2,0.18181818181818182,0.8181818181818182
32,485208,Julián Álvarez,23,19,4,0.17391304347826086,0.8260869565217391
