Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches,Tou/90,Tou/90 5 rolling,Def Pen,Def 3rd,Def /90,Def 90 roll,Mid 3rd,Att 3rd,Att /90,Att /90 roll,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
2023-08-12,Sat,Premier League,Matchweek 1,Home,W 2–1,Arsenal,Nott'ham Forest,Y,CM,90,103,103,,2,24,24,,65,15,15,,1,103,2,0,0,1,50,86,444,178,1,1,0,3,0,87,4
2023-08-21,Mon,Premier League,Matchweek 2,Away,W 1–0,Arsenal,Crystal Palace,Y,CM,90,67,67,,5,16,16,,35,16,16,,1,67,2,0,0,1,50,41,275,129,2,2,0,0,0,48,0
2023-08-26,Sat,Premier League,Matchweek 3,Home,D 2–2,Arsenal,Fulham,Y,CM,89,79,80,,2,14,14,,47,18,18,,0,79,0,0,,0,,45,249,86,0,1,0,1,1,64,0
2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–1,Arsenal,Manchester Utd,Y,CM,90,83,83,,2,20,20,,43,20,20,,2,83,1,0,0,1,100,58,337,191,3,1,0,0,0,60,1
2023-09-17,Sun,Premier League,Matchweek 5,Away,W 1–0,Arsenal,Everton,Y,CM,90,97,97,86,1,23,23,19,52,23,23,18,1,97,3,3,100,0,0,69,332,190,2,1,0,0,0,82,1
2023-09-20,Wed,Champions Lg,Group stage,Home,W 4–0,eng Arsenal,nl PSV Eindhoven,Y,CM,75,62,74,80,7,28,34,21,29,5,6,17,0,62,0,0,,0,,38,189,96,1,0,0,1,0,42,0
2023-09-24,Sun,Premier League,Matchweek 6,Home,D 2–2,Arsenal,Tottenham,Y,CM,45,21,42,75,2,5,10,20,13,3,6,15,1,21,0,0,,0,,9,44,6,0,1,0,0,1,11,1
2023-09-30,Sat,Premier League,Matchweek 7,Away,W 4–0,Arsenal,Bournemouth,Y,CM,80,73,82,76,5,29,33,24,34,10,11,13,0,73,0,0,,0,,42,280,148,2,1,0,0,0,56,0
2023-10-03,Tue,Champions Lg,Group stage,Away,L 1–2,eng Arsenal,fr Lens,Y,CM,90,123,123,84,3,21,21,24,84,21,21,13,0,123,4,4,100,0,0,105,746,387,4,2,0,2,0,101,0
2023-10-08,Sun,Premier League,Matchweek 8,Home,W 1–0,Arsenal,Manchester City,Y,LM,90,54,54,75,6,24,24,24,19,12,12,11,2,54,1,0,0,1,100,31,157,41,1,2,0,0,1,33,4
2023-10-21,Sat,Premier League,Matchweek 9,Away,D 2–2,Arsenal,Chelsea,Y,"LM,CM",90,60,60,72,1,19,19,21,26,15,15,13,1,60,2,1,50,1,50,32,242,76,2,1,1,0,2,41,4
2023-10-24,Tue,Champions Lg,Group stage,Away,W 2–1,eng Arsenal,es Sevilla,Y,"LM,CM",90,59,59,76,4,15,15,22,28,18,18,15,1,59,4,3,75,1,25,34,288,169,4,2,0,2,0,33,1
2023-10-28,Sat,Premier League,Matchweek 10,Home,W 5–0,Arsenal,Sheffield Utd,Y,CM,88,79,81,75,2,13,13,18,52,15,15,16,0,79,0,0,,0,,61,302,131,0,0,1,0,2,65,0
