Squad,Sh_for,npxG/Sh_for,Sh_ag,npxG/Sh_ag
Arsenal,13.8,0.12,13.6,0.08
Aston Villa,12.4,0.12,11,0.1
Bournemouth,15,0.11,13.1,0.1
Brentford,11,0.14,18.5,0.1
Brighton,14.5,0.11,12.1,0.13
Chelsea,13.9,0.13,12.5,0.09
Crystal Palace,14.3,0.08,13.4,0.11
Everton,11.9,0.09,13.3,0.11
Fulham,15.5,0.09,12.3,0.1
Ipswich Town,9.82,0.09,15.4,0.14
Leicester City,10.2,0.09,17.6,0.1
Liverpool,13.9,0.12,10,0.09
Manchester City,19.2,0.1,7.73,0.15
Manchester Utd,13.9,0.11,11,0.13
Newcastle Utd,12.5,0.11,14.5,0.09
Nott'ham Forest,14.2,0.09,13.1,0.07
Southampton,10.2,0.1,16.8,0.12
Tottenham,17.2,0.12,9.64,0.12
West Ham,13.3,0.1,16.3,0.1
Wolves,10.5,0.1,15.2,0.11
