Minute,Team,Player,Event Type,Outcome,xG,PSxG,match_url,match_date,home_team,away_team,division
0,0,0,Shot,0,0.0,0.0,https://fbref.com/en/matches/3a6836b4/Burnley-Manchester-City-August-11-2023-Premier-League,2023-08-11,Burnley,Manchester City,Premier League
4,Manchester City,Erling Haaland,Shot,Goal,0.17,0.62,https://fbref.com/en/matches/3a6836b4/Burnley-Manchester-City-August-11-2023-Premier-League,2023-08-11,Burnley,Manchester City,Premier League
6,Manchester City,Kevin De Bruyne,Shot,Off Target,0.02,0.0,https://fbref.com/en/matches/3a6836b4/Burnley-Manchester-City-August-11-2023-Premier-League,2023-08-11,Burnley,Manchester City,Premier League
11,Manchester City,Erling Haaland,Shot,Off Target,0.21,0.0,https://fbref.com/en/matches/3a6836b4/Burnley-Manchester-City-August-11-2023-Premier-League,2023-08-11,Burnley,Manchester City,Premier League
15,Burnley,Luca Koleosho,Shot,Off Target,0.08,0.0,https://fbref.com/en/matches/3a6836b4/Burnley-Manchester-City-August-11-2023-Premier-League,2023-08-11,Burnley,Manchester City,Premier League
18,Burnley,Zeki Amdouni,Shot,Saved,0.03,0.02,https://fbref.com/en/matches/3a6836b4/Burnley-Manchester-City-August-11-2023-Premier-League,2023-08-11,Burnley,Manchester City,Premier League
29,Burnley,Lyle Foster,Shot,Off Target,0.03,0.0,https://fbref.com/en/matches/3a6836b4/Burnley-Manchester-City-August-11-2023-Premier-League,2023-08-11,Burnley,Manchester City,Premier League
36,Manchester City,Erling Haaland,Shot,Goal,0.14,0.5,https://fbref.com/en/matches/3a6836b4/Burnley-Manchester-City-August-11-2023-Premier-League,2023-08-11,Burnley,Manchester City,Premier League
37,Burnley,Lyle Foster,Shot,Blocked,0.12,0.0,https://fbref.com/en/matches/3a6836b4/Burnley-Manchester-City-August-11-2023-Premier-League,2023-08-11,Burnley,Manchester City,Premier League
45,Manchester City,Phil Foden,Shot,Saved,0.24,0.33,https://fbref.com/en/matches/3a6836b4/Burnley-Manchester-City-August-11-2023-Premier-League,2023-08-11,Burnley,Manchester City,Premier League
52,Manchester City,Erling Haaland,Shot,Blocked,0.05,0.0,https://fbref.com/en/matches/3a6836b4/Burnley-Manchester-City-August-11-2023-Premier-League,2023-08-11,Burnley,Manchester City,Premier League
53,Manchester City,Phil Foden,Shot,Blocked,0.04,0.0,https://fbref.com/en/matches/3a6836b4/Burnley-Manchester-City-August-11-2023-Premier-League,2023-08-11,Burnley,Manchester City,Premier League
55,Manchester City,Rodri,Shot,Saved,0.01,0.26,https://fbref.com/en/matches/3a6836b4/Burnley-Manchester-City-August-11-2023-Premier-League,2023-08-11,Burnley,Manchester City,Premier League
55,Manchester City,Rodri,Shot,Saved,0.02,0.05,https://fbref.com/en/matches/3a6836b4/Burnley-Manchester-City-August-11-2023-Premier-League,2023-08-11,Burnley,Manchester City,Premier League
60,Manchester City,Julián Álvarez,Shot,Off Target,0.06,0.0,https://fbref.com/en/matches/3a6836b4/Burnley-Manchester-City-August-11-2023-Premier-League,2023-08-11,Burnley,Manchester City,Premier League
67,Manchester City,Rodri,Shot,Blocked,0.05,0.0,https://fbref.com/en/matches/3a6836b4/Burnley-Manchester-City-August-11-2023-Premier-League,2023-08-11,Burnley,Manchester City,Premier League
75,Manchester City,Nathan Aké,Shot,Blocked,0.31,0.0,https://fbref.com/en/matches/3a6836b4/Burnley-Manchester-City-August-11-2023-Premier-League,2023-08-11,Burnley,Manchester City,Premier League
75,Manchester City,Rodri,Shot,Goal,0.42,0.93,https://fbref.com/en/matches/3a6836b4/Burnley-Manchester-City-August-11-2023-Premier-League,2023-08-11,Burnley,Manchester City,Premier League
79,Manchester City,Julián Álvarez,Shot,Blocked,0.2,0.0,https://fbref.com/en/matches/3a6836b4/Burnley-Manchester-City-August-11-2023-Premier-League,2023-08-11,Burnley,Manchester City,Premier League
80,Burnley,Anass Zaroury,Shot,Blocked,0.04,0.0,https://fbref.com/en/matches/3a6836b4/Burnley-Manchester-City-August-11-2023-Premier-League,2023-08-11,Burnley,Manchester City,Premier League
82,Burnley,Jacob Bruun Larsen,Shot,Off Target,0.02,0.0,https://fbref.com/en/matches/3a6836b4/Burnley-Manchester-City-August-11-2023-Premier-League,2023-08-11,Burnley,Manchester City,Premier League
86,Manchester City,Julián Álvarez,Shot,Saved,0.09,0.02,https://fbref.com/en/matches/3a6836b4/Burnley-Manchester-City-August-11-2023-Premier-League,2023-08-11,Burnley,Manchester City,Premier League
88,Manchester City,Phil Foden,Shot,Off Target,0.02,0.0,https://fbref.com/en/matches/3a6836b4/Burnley-Manchester-City-August-11-2023-Premier-League,2023-08-11,Burnley,Manchester City,Premier League
90,Manchester City,Aymeric Laporte,Shot,Saved,0.04,0.02,https://fbref.com/en/matches/3a6836b4/Burnley-Manchester-City-August-11-2023-Premier-League,2023-08-11,Burnley,Manchester City,Premier League
90,Burnley,Anass Zaroury,Red Card,Red Card,0.0,0.0,https://fbref.com/en/matches/3a6836b4/Burnley-Manchester-City-August-11-2023-Premier-League,2023-08-11,Burnley,Manchester City,Premier League
0,0,0,Shot,0,0.0,0.0,https://fbref.com/en/matches/26a7f90c/Arsenal-Nottingham-Forest-August-12-2023-Premier-League,2023-08-12,Arsenal,Nott'ham Forest,Premier League
10,Arsenal,Eddie Nketiah,Shot,Off Target,0.06,0.0,https://fbref.com/en/matches/26a7f90c/Arsenal-Nottingham-Forest-August-12-2023-Premier-League,2023-08-12,Arsenal,Nott'ham Forest,Premier League
11,Nott'ham Forest,Brennan Johnson,Shot,Off Target,0.28,0.0,https://fbref.com/en/matches/26a7f90c/Arsenal-Nottingham-Forest-August-12-2023-Premier-League,2023-08-12,Arsenal,Nott'ham Forest,Premier League
