Year of Promotion,Team,CHA xG,CHA xGA,CHA xGD,CHA Total xG,CHA Total xGA,PRE xG,PRE xGA,PRE xGD,PRE Total xG,PRE Total xGA
2017,Newcastle United,1.89,1.25,0.64,1696.56,1696.56,1.09,1.37,-0.28,945.8,945.8
2017,Brighton,1.48,1.39,0.09,1696.56,1696.56,0.97,1.34,-0.37,945.8,945.8
2017,Huddersfield,1.59,1.16,0.43,1696.56,1696.56,0.82,1.28,-0.46,945.8,945.8
2018,Wolves,1.51,1.18,0.33,1538.98,1538.98,1.37,1.11,0.26,1022.1,1022.1
2018,Cardiff,1.53,1.19,0.34,1538.98,1538.98,1.12,1.62,-0.50,1022.1,1022.1
2018,Fulham,1.53,1.29,0.24,1538.98,1538.98,1.09,1.79,-0.70,1022.1,1022.1
2019,Norwich,1.70,1.03,0.67,1459.10,1459.10,0.97,1.75,-0.78,1041.1,1041.1
2019,Sheffield United,1.62,0.92,0.70,1459.10,1459.10,1.13,1.34,-0.21,1041.1,1041.1
2019,Aston Villa,1.60,1.25,0.35,1459.10,1459.10,1.17,1.78,-0.61,1041.1,1041.1
2020,Leeds,1.88,0.82,1.06,1462.50,1462.50,1.46,1.52,-0.06,982.4,982.4
2020,West Brom,1.65,1.10,0.54,1462.50,1462.50,0.94,1.74,-0.80,982.4,982.4
2020,Fulham,1.42,1.28,0.14,1462.50,1462.50,1.07,1.38,-0.32,982.4,982.4
2021,Norwich,1.67,1.13,0.54,1326.30,1326.30,0.85,1.99,-1.14,1017.9,1017.9
2021,Watford,1.45,0.99,0.45,1326.30,1326.30,1.05,1.70,-0.64,1017.9,1017.9
2021,Brentford,1.63,0.86,0.77,1326.30,1326.30,1.21,1.28,-0.07,1017.9,1017.9
2022,Fulham,2.07,0.94,1.12,1462.30,1462.30,1.22,1.67,-0.46,1077.9,1077.9
2022,Bournemouth,1.63,1.01,0.62,1462.30,1462.30,1.01,1.68,-0.67,1077.9,1077.9
2022,Nottingham Forest,1.49,1.18,0.31,1462.30,1462.30,1.03,1.69,-0.66,1077.9,1077.9
2023,Burnley,1.44,0.83,0.61,1312.30,1312.30,1.07,1.85,-0.78,1177.4,1177.4
2023,Sheffield United,1.56,0.96,0.60,1312.30,1312.30,1.01,2.02,-1.01,1177.4,1177.4
2023,Luton,1.27,0.95,0.31,1312.30,1312.30,1.12,2.05,-0.94,1177.4,1177.4
