Inf,Name,Position,Act Pos,Nat,Age,Club,Wage,Transfer Value,Personality,Left Foot,Right Foot,Com,Ecc,Pun,1v1,Acc,Aer,Agg,Agi,Ant,Bal,Bra,Cmd,Cnt,Cmp,Cro,Dec,Det,Dri,Fin,Fir,Fla,Han,Hea,Jum,Kic,Ldr,Lon,Mar,OtB,Pac,Pas,Pos,Ref,Sta,Str,Tck,Tea,Tec,Thr,TRO,Vis,Wor,Cor,Fre,L Th,Pen,Nat,Height,Division,Injury Risk,Expires
Wnt,Marc Guéhi,D (C),CB,ENG,23,Crystal Palace,"£45,000 p/w",£45M - £50M,Resolute,Fairly Strong,Very Strong,2,3,3,1,15,1,11,15,14,14,13,2,14,14,7,13,15,13,9,14,11,4,13,14,2,15,8,14,9,14,13,15,1,14,14,15,13,15,2,3,11,14,5,7,9,8,16,"6'0""",English Premier Division,Increased,30/6/2025
,Matt Turner,GK,GK,USA,30,Crystal Palace,"£40,000 p/w",£12.5M - £19M,Fairly Determined,Reasonable,Very Strong,13,10,6,14,11,14,6,15,12,6,14,15,14,12,3,13,15,7,2,7,6,15,2,12,11,8,2,2,2,10,8,15,16,12,14,2,11,7,10,7,9,10,4,6,1,1,6,"6'3""",English Premier Division,Increased,31/5/2024
,Daichi Kamada,M/AM (C),AM,JPN,27,Crystal Palace,"£70,000 p/w",£22M - £27M,Fairly Professional,Fairly Strong,Very Strong,3,2,1,2,12,2,11,14,12,14,10,1,10,11,12,13,12,14,13,15,14,3,7,10,2,7,13,10,16,13,14,11,2,14,10,12,14,16,3,2,15,12,12,14,4,14,14,"6'0""",English Premier Division,Increased,30/6/2025
,Ebere Eze,"M (C), AM (LC)",AM,ENG,26,Crystal Palace,"£100,000 p/w",£25M - £33M,Spirited,Fairly Strong,Very Strong,3,1,1,2,13,4,8,16,13,16,8,1,13,16,13,13,15,17,13,15,17,4,6,9,1,9,13,6,14,13,15,9,1,12,13,7,15,17,3,3,15,13,14,13,5,13,13,"5'10""",English Premier Division,Increased,30/6/2026
,Trevoh Chalobah,"D (RC), DM",DC,ENG,24,Crystal Palace,"£40,000 p/w",£27M - £34M,Fairly Sporting,Fairly Strong,Very Strong,2,2,3,4,14,1,12,11,14,14,13,1,17,15,11,15,13,10,8,13,12,1,13,15,2,8,9,14,8,15,12,14,2,14,14,15,15,13,3,2,12,15,6,10,6,6,15,"6'4""",English Premier Division,Increased,31/5/2024
,Eddie Nketiah,"AM (RL), ST (C)",ST,ENG,25,Crystal Palace,"£75,000 p/w",£27M - £30M,Balanced,Fairly Strong,Very Strong,2,1,3,1,17,3,13,18,14,15,11,1,11,14,7,12,14,15,14,14,15,1,13,9,1,4,9,3,16,16,12,5,3,14,12,5,15,15,1,1,11,14,6,5,1,10,14,"5'9""",English Premier Division,Increased,30/6/2028
,Rob Holding,D (C),DC,ENG,28,Crystal Palace,"£60,000 p/w",£12.5M - £13.5M,Balanced,Weak,Very Strong,1,2,2,4,13,2,13,13,14,13,15,3,14,12,6,12,14,10,5,13,8,3,14,15,1,13,5,15,5,12,12,14,1,15,13,15,15,12,2,4,12,15,2,6,11,5,14,"6'2""",English Premier Division,Increased,30/6/2025
,Jefferson Lerma,"DM, M (C)",CM,COL,29,Crystal Palace,"£70,000 p/w",£17.5M - £19.5M,Perfectionist,Weak,Very Strong,1,1,3,2,13,2,15,14,15,15,16,3,14,12,10,13,15,11,8,12,9,2,14,14,1,9,13,13,12,12,13,13,3,15,14,16,13,12,1,3,11,16,9,9,8,9,17,"5'10""",English Premier Division,Increased,30/6/2025
,Tyrick Mitchell,D/WB (L),LB,ENG,24,Crystal Palace,"£40,000 p/w",£14.5M - £16.5M,Spirited,Very Strong,Reasonable,3,2,3,1,15,1,15,15,13,14,13,3,13,13,10,12,13,12,8,11,10,3,11,9,1,8,8,12,13,16,13,14,1,14,13,17,15,12,1,3,13,15,7,7,11,7,16,"5'9""",English Premier Division,Increased,30/6/2024
,Dean Henderson,GK,GK,ENG,27,Crystal Palace,"£100,000 p/w",£15M - £18M,Fairly Ambitious,Weak,Very Strong,15,13,14,14,12,13,15,15,14,12,14,14,13,11,2,13,14,3,3,10,13,13,5,14,11,12,1,1,13,11,11,14,15,12,11,1,13,10,12,13,8,11,1,6,1,2,15,"6'2""",English Premier Division,Increased,30/6/2027
,Ismaïla Sarr,"AM (RL), ST (C)",AM,SEN,26,Crystal Palace,"£63,000 p/w",£9.8M - £12M,Balanced,Weak,Very Strong,1,1,1,2,14,3,11,13,11,14,11,1,11,11,11,10,12,13,13,12,14,3,8,11,2,6,13,6,14,18,12,7,2,14,12,7,10,12,1,1,11,12,10,10,6,14,15,"6'1""",English Premier Division,Increased,30/6/2028
,Maxence Lacroix,D (C),DC,FRA,24,Crystal Palace,"£58,000 p/w",£18.5M - £21M,Fairly Determined,Reasonable,Very Strong,2,2,3,1,14,1,16,12,14,14,16,2,12,12,6,13,16,12,6,12,12,4,14,15,2,10,6,15,8,17,13,14,3,12,15,14,12,12,1,1,12,13,3,3,7,6,15,"6'3""",English Premier Division,Increased,30/6/2028
