Inf,Name,Position,Act Pos,Nat,Age,Club,Wage,Transfer Value,Personality,Left Foot,Right Foot,Com,Ecc,Pun,1v1,Acc,Aer,Agg,Agi,Ant,Bal,Bra,Cmd,Cnt,Cmp,Cro,Dec,Det,Dri,Fin,Fir,Fla,Han,Hea,Jum,Kic,Ldr,Lon,Mar,OtB,Pac,Pas,Pos,Ref,Sta,Str,Tck,Tea,Tec,Thr,TRO,Vis,Wor,Cor,Fre,L Th,Pen,Nat,Height,Av Rat,Division,Injury Risk,Expires
Agn,Dean Henderson,GK,GK,ENG,27,Crystal Palace,"£100,000 p/w",£18.5M - £23M,Fairly Ambitious,Weak,Very Strong,15,13,14,14,12,13,15,15,14,12,14,14,13,11,2,13,14,3,3,10,13,13,5,14,11,12,1,1,13,11,11,14,15,12,11,1,13,10,12,13,8,11,1,5,1,2,15,"6'2""",6.9,English Premier Division,Low,30/6/2027
Wnt,Ebere Eze,"M (C), AM (LC)",AM,ENG,26,Crystal Palace,"£100,000 p/w",£27M - £36M,Spirited,Fairly Strong,Very Strong,3,1,1,2,13,4,8,16,13,16,8,1,13,16,13,13,15,17,13,15,17,4,6,9,1,9,13,6,14,13,15,9,1,12,13,7,15,17,3,3,15,13,14,13,5,13,13,"5'10""",6.85,English Premier Division,High,30/6/2026
,Eddie Nketiah,"AM (RL), ST (C)",ST,ENG,25,Crystal Palace,"£75,000 p/w",£32M - £36M,Balanced,Fairly Strong,Very Strong,2,1,3,1,17,3,13,18,14,15,11,1,11,14,7,12,14,15,14,14,15,1,13,9,1,4,9,3,16,16,12,5,3,14,12,5,15,15,1,1,11,14,6,5,1,10,14,"5'9""",6.85,English Premier Division,High,30/6/2028
Inj,Daichi Kamada,M/AM (C),AM,JPN,28,Crystal Palace,"£70,000 p/w",£24M - £29M,Fairly Professional,Fairly Strong,Very Strong,3,2,1,2,12,2,11,14,12,14,10,1,10,11,12,13,12,14,13,15,14,3,7,10,2,7,13,10,16,13,14,11,2,14,10,12,14,16,3,2,15,12,12,14,4,14,14,"6'0""",7.03,English Premier Division,High,30/6/2025
Agn,Jefferson Lerma,"DM, M (C)",CM,COL,30,Crystal Palace,"£70,000 p/w",£15M - £16.5M,Perfectionist,Weak,Very Strong,1,1,3,2,13,2,15,14,15,15,16,3,14,12,10,13,15,11,8,12,9,2,14,14,1,9,13,13,12,12,13,13,3,15,14,16,13,12,1,3,11,16,9,9,8,9,17,"5'10""",6.76,English Premier Division,High,30/6/2025
Inj,Cheick Doucouré,"DM, M (C)",CM,MLI,24,Crystal Palace,"£70,000 p/w",£35M - £39M,Spirited,Reasonable,Very Strong,2,2,2,3,13,1,14,13,15,14,14,1,13,14,9,13,15,12,9,15,10,2,12,12,2,10,11,14,12,13,15,14,1,14,13,15,14,14,1,2,15,14,8,8,10,10,14,"5'11""",7.01,English Premier Division,Increased,30/6/2028
Int,Ismaïla Sarr,"AM (RL), ST (C)",AM,SEN,26,Crystal Palace,"£63,000 p/w",£7.2M - £9M,Balanced,Weak,Very Strong,1,1,1,2,14,3,11,13,12,14,11,1,11,11,11,10,12,13,13,12,14,3,8,12,2,6,13,6,14,18,12,7,2,14,12,7,10,12,1,1,11,12,10,10,6,14,15,"6'1""",7.1,English Premier Division,Low,30/6/2028
Ask,Rob Holding,D (C),DC,ENG,29,Crystal Palace,"£60,000 p/w",£6.2M - £6.8M,Balanced,Weak,Very Strong,1,2,2,4,13,2,13,13,14,13,15,3,14,12,6,12,14,10,5,13,8,3,14,15,1,13,5,15,5,12,12,14,1,15,13,15,15,12,2,4,12,15,2,6,11,5,14,"6'2""",-,English Premier Division,Increased,30/6/2025
Inj,Jeffrey Schlupp,"M (LC), AM (L)",CM,GHA,32,Crystal Palace,"£60,000 p/w",£1M,Balanced,Very Strong,Weak,3,4,2,4,14,1,10,13,12,13,14,3,11,12,11,11,13,13,12,12,12,1,10,11,2,8,9,11,13,13,11,12,2,15,11,11,14,13,1,1,10,14,9,9,10,10,13,"5'10""",6.5,English Premier Division,Very High,30/6/2024
Agn,Maxence Lacroix,D (C),DC,FRA,24,Crystal Palace,"£58,000 p/w",£22M - £25M,Fairly Determined,Reasonable,Very Strong,2,2,3,1,14,1,16,12,14,14,16,2,12,12,6,13,16,12,6,12,12,4,14,15,2,10,6,15,8,17,13,14,3,12,15,14,12,12,1,1,12,13,3,3,7,6,15,"6'3""",6.89,English Premier Division,High,30/6/2028
