Inf,Name,Position,Act Pos,Nat,Age,Club,Wage,Transfer Value,Personality,Left Foot,Right Foot,Com,Ecc,Pun,1v1,Acc,Aer,Agg,Agi,Ant,Bal,Bra,Cmd,Cnt,Cmp,Cro,Dec,Det,Dri,Fin,Fir,Fla,Han,Hea,Jum,Kic,Ldr,Lon,Mar,OtB,Pac,Pas,Pos,Ref,Sta,Str,Tck,Tea,Tec,Thr,TRO,Vis,Wor,Cor,Fre,L Th,Pen,Nat,Height,Av Rat,Division,Injury Risk,Expires,30/6/2027,30/6/2028
,Dean Henderson,GK,GK,ENG,28,Crystal Palace,"£100,000 p/w",£22M - £27M,Fairly Ambitious,Weak,Very Strong,15,13,14,14,12,13,15,15,14,12,14,14,13,11,2,13,14,3,3,10,13,13,5,15,11,12,1,1,13,11,11,14,15,12,11,1,13,10,12,13,8,11,1,5,1,2,15,"6'2""",-,English Premier Division,Increased,30/6/2027,30/6/2026,30/6/2028
Prm,Ebere Eze,"M (C), AM (LC)",AM,ENG,27,Crystal Palace,"£100,000 p/w",£46M - £61M,Spirited,Fairly Strong,Very Strong,3,1,1,2,13,4,8,16,13,16,8,1,13,16,13,13,15,17,13,15,17,4,6,9,1,9,13,6,14,13,15,9,1,12,13,7,15,17,3,3,15,13,14,13,5,13,13,"5'10""",-,English Premier Division,Increased,30/6/2026,30/6/2028,30/6/2028
,Odsonne Edouard,"AM (LC), ST (C)",ST,FRA,27,Crystal Palace,"£93,000 p/w",£12.5M - £16.5M,Spirited,Strong,Very Strong,2,2,2,3,14,3,9,13,12,14,12,2,11,12,10,12,13,14,15,13,12,1,11,14,2,6,11,8,13,14,11,8,3,13,12,8,11,14,3,3,12,11,6,10,4,15,14,"6'2""",-,English Premier Division,Increased,30/6/2028,30/6/2029,30/6/2025
Inj,Facundo Pellistri,AM (RL),AM,URU,23,Crystal Palace,"£86,000 p/w",£29M - £32M,Balanced,Reasonable,Very Strong,1,1,3,3,16,3,14,16,11,14,14,1,10,11,12,12,14,15,10,14,14,4,5,7,2,7,8,5,15,14,12,8,2,15,8,8,15,13,2,3,11,15,9,8,3,10,16,"5'9""",-,English Premier Division,Increased,30/6/2029,30/6/2028,30/6/2025
Wnt,Eddie Nketiah,"AM (RL), ST (C)",ST,ENG,26,Crystal Palace,"£75,000 p/w",£35M - £39M,Balanced,Fairly Strong,Very Strong,2,1,3,1,17,3,13,18,14,15,11,1,11,15,7,12,14,15,14,14,15,1,13,9,1,4,9,3,16,16,12,5,3,14,12,5,15,15,1,1,11,14,6,5,1,10,14,"5'9""",-,English Premier Division,Increased,30/6/2028,30/6/2028,30/6/2028
Wnt,Cheick Doucouré,"DM, M (C)",CM,MLI,25,Crystal Palace,"£70,000 p/w",£49M - £54M,Spirited,Reasonable,Very Strong,2,2,2,3,13,1,14,13,15,14,14,1,13,14,9,13,15,12,9,15,10,2,12,12,2,10,11,14,12,13,15,14,1,14,13,15,14,14,1,2,15,14,8,8,10,10,14,"5'11""",-,English Premier Division,Low,30/6/2028,30/6/2025,30/6/2025
,Daichi Kamada,M/AM (C),AM,JPN,28,Crystal Palace,"£70,000 p/w",£26M - £32M,Fairly Professional,Fairly Strong,Very Strong,3,2,1,2,12,2,11,14,12,14,10,1,10,11,12,13,12,14,13,15,14,3,7,10,2,7,13,10,16,13,14,11,2,14,10,12,14,16,3,2,15,12,12,14,4,14,14,"6'0""",-,English Premier Division,Increased,30/6/2025,30/6/2028,30/6/2028
Wnt,Tyrick Mitchell,D/WB (L),LB,ENG,25,Crystal Palace,"£70,000 p/w",£38.5M,Spirited,Very Strong,Reasonable,3,2,3,1,15,1,15,15,13,15,13,3,13,13,10,13,13,12,8,12,11,3,11,9,1,8,9,12,13,16,13,14,1,14,13,17,15,12,1,3,13,15,7,7,12,7,16,"5'9""",-,English Premier Division,Increased,30/6/2028,30/6/2029,30/6/2026
,Samú,"DM, M (C)",CM,POR,24,Crystal Palace,"£68,000 p/w",£28M - £35M,Perfectionist,Very Strong,Weak,3,2,2,4,12,2,14,13,15,13,14,3,14,14,8,13,15,11,10,13,8,3,8,12,2,13,12,11,11,11,14,15,3,16,13,16,14,13,2,3,13,17,8,9,9,9,14,"6'0""",-,English Premier Division,Increased,30/6/2029,30/6/2025,30/6/2028
,Maxence Lacroix,D (C),DC,FRA,25,Crystal Palace,"£58,000 p/w",£28M - £31M,Fairly Determined,Reasonable,Very Strong,2,2,3,1,14,1,16,12,14,14,16,2,12,12,6,13,16,12,6,12,12,4,14,15,2,10,6,15,8,17,13,14,3,12,15,14,12,12,1,1,12,13,3,3,7,6,15,"6'3""",-,English Premier Division,Increased,30/6/2028,30/6/2028,30/6/2025
